"V6" "V9" "V10" "V11" "V14"
"1" 6.575 1 296 15.3 24
"2" 6.421 2 242 17.8 21.6
"3" 7.185 2 242 17.8 34.7
"4" 6.998 3 222 18.7 33.4
"5" 7.147 3 222 18.7 36.2
"6" 6.43 3 222 18.7 28.7
"7" 6.012 5 311 15.2 22.9
"8" 6.172 5 311 15.2 27.1
"9" 5.631 5 311 15.2 16.5
"10" 6.004 5 311 15.2 18.9
"11" 6.377 5 311 15.2 15
"12" 6.009 5 311 15.2 18.9
"13" 5.889 5 311 15.2 21.7
"14" 5.949 4 307 21 20.4
"15" 6.096 4 307 21 18.2
"16" 5.834 4 307 21 19.9
"17" 5.935 4 307 21 23.1
"18" 5.99 4 307 21 17.5
"19" 5.456 4 307 21 20.2
"20" 5.727 4 307 21 18.2
"21" 5.57 4 307 21 13.6
"22" 5.965 4 307 21 19.6
"23" 6.142 4 307 21 15.2
"24" 5.813 4 307 21 14.5
"25" 5.924 4 307 21 15.6
"26" 5.599 4 307 21 13.9
"27" 5.813 4 307 21 16.6
"28" 6.047 4 307 21 14.8
"29" 6.495 4 307 21 18.4
"30" 6.674 4 307 21 21
"31" 5.713 4 307 21 12.7
"32" 6.072 4 307 21 14.5
"33" 5.95 4 307 21 13.2
"34" 5.701 4 307 21 13.1
"35" 6.096 4 307 21 13.5
"36" 5.933 5 279 19.2 18.9
"37" 5.841 5 279 19.2 20
"38" 5.85 5 279 19.2 21
"39" 5.966 5 279 19.2 24.7
"40" 6.595 3 252 18.3 30.8
"41" 7.024 3 252 18.3 34.9
"42" 6.77 3 233 17.9 26.6
"43" 6.169 3 233 17.9 25.3
"44" 6.211 3 233 17.9 24.7
"45" 6.069 3 233 17.9 21.2
"46" 5.682 3 233 17.9 19.3
"47" 5.786 3 233 17.9 20
"48" 6.03 3 233 17.9 16.6
"49" 5.399 3 233 17.9 14.4
"50" 5.602 3 233 17.9 19.4
"51" 5.963 4 243 16.8 19.7
"52" 6.115 4 243 16.8 20.5
"53" 6.511 4 243 16.8 25
"54" 5.998 4 243 16.8 23.4
"55" 5.888 3 469 21.1 18.9
"56" 7.249 5 226 17.9 35.4
"57" 6.383 2 313 17.3 24.7
"58" 6.816 5 256 15.1 31.6
"59" 6.145 8 284 19.7 23.3
"60" 5.927 8 284 19.7 19.6
"61" 5.741 8 284 19.7 18.7
"62" 5.966 8 284 19.7 16
"63" 6.456 8 284 19.7 22.2
"64" 6.762 8 284 19.7 25
"65" 7.104 3 216 18.6 33
"66" 6.29 4 337 16.1 23.5
"67" 5.787 4 337 16.1 19.4
"68" 5.878 4 345 18.9 22
"69" 5.594 4 345 18.9 17.4
"70" 5.885 4 345 18.9 20.9
"71" 6.417 4 305 19.2 24.2
"72" 5.961 4 305 19.2 21.7
"73" 6.065 4 305 19.2 22.8
"74" 6.245 4 305 19.2 23.4
"75" 6.273 5 398 18.7 24.1
"76" 6.286 5 398 18.7 21.4
"77" 6.279 5 398 18.7 20
"78" 6.14 5 398 18.7 20.8
"79" 6.232 5 398 18.7 21.2
"80" 5.874 5 398 18.7 20.3
"81" 6.727 4 281 19 28
"82" 6.619 4 281 19 23.9
"83" 6.302 4 281 19 24.8
"84" 6.167 4 281 19 22.9
"85" 6.389 3 247 18.5 23.9
"86" 6.63 3 247 18.5 26.6
"87" 6.015 3 247 18.5 22.5
"88" 6.121 3 247 18.5 22.2
"89" 7.007 2 270 17.8 23.6
"90" 7.079 2 270 17.8 28.7
"91" 6.417 2 270 17.8 22.6
"92" 6.405 2 270 17.8 22
"93" 6.442 4 270 18.2 22.9
"94" 6.211 4 270 18.2 25
"95" 6.249 4 270 18.2 20.6
"96" 6.625 2 276 18 28.4
"97" 6.163 2 276 18 21.4
"98" 8.069 2 276 18 38.7
"99" 7.82 2 276 18 43.8
"100" 7.416 2 276 18 33.2
"101" 6.727 5 384 20.9 27.5
"102" 6.781 5 384 20.9 26.5
"103" 6.405 5 384 20.9 18.6
"104" 6.137 5 384 20.9 19.3
"105" 6.167 5 384 20.9 20.1
"106" 5.851 5 384 20.9 19.5
"107" 5.836 5 384 20.9 19.5
"108" 6.127 5 384 20.9 20.4
"109" 6.474 5 384 20.9 19.8
"110" 6.229 5 384 20.9 19.4
"111" 6.195 5 384 20.9 21.7
"112" 6.715 6 432 17.8 22.8
"113" 5.913 6 432 17.8 18.8
"114" 6.092 6 432 17.8 18.7
"115" 6.254 6 432 17.8 18.5
"116" 5.928 6 432 17.8 18.3
"117" 6.176 6 432 17.8 21.2
"118" 6.021 6 432 17.8 19.2
"119" 5.872 6 432 17.8 20.4
"120" 5.731 6 432 17.8 19.3
"121" 5.87 2 188 19.1 22
"122" 6.004 2 188 19.1 20.3
"123" 5.961 2 188 19.1 20.5
"124" 5.856 2 188 19.1 17.3
"125" 5.879 2 188 19.1 18.8
"126" 5.986 2 188 19.1 21.4
"127" 5.613 2 188 19.1 15.7
"128" 5.693 4 437 21.2 16.2
"129" 6.431 4 437 21.2 18
"130" 5.637 4 437 21.2 14.3
"131" 6.458 4 437 21.2 19.2
"132" 6.326 4 437 21.2 19.6
"133" 6.372 4 437 21.2 23
"134" 5.822 4 437 21.2 18.4
"135" 5.757 4 437 21.2 15.6
"136" 6.335 4 437 21.2 18.1
"137" 5.942 4 437 21.2 17.4
"138" 6.454 4 437 21.2 17.1
"139" 5.857 4 437 21.2 13.3
"140" 6.151 4 437 21.2 17.8
"141" 6.174 4 437 21.2 14
"142" 5.019 4 437 21.2 14.4
"143" 5.403 5 403 14.7 13.4
"144" 5.468 5 403 14.7 15.6
